community area,primary type,prediction
34,560,3
16,820,1
28,2024,4
26,486,4
44,2826,0
23,1153,4
42,870,0
24,5011,4
27,820,4
4,1544,2
39,430,3
17,470,1
49,1365,0
45,620,0
27,1305,4
32,890,3
41,810,0
24,1506,4
26,1120,4
20,454,1
3,5110,2
24,1220,4
8,460,2
11,320,1
18,580,1
37,2014,3
33,2825,3
5,2826,2
49,330,0
15,497,1
43,1153,0
22,470,4
33,1780,3
5,860,2
43,031A,0
19,486,1
28,610,4
10,482,2
6,141C,2
3,051A,2
30,1153,4
40,1156,3
7,281,2
32,1780,3
42,2850,0
38,1350,3
7,860,2
29,1153,4
28,033A,4
50,1152,0
3,2093,2
20,545,1
39,1750,3
25,1122,4
2,1821,2
6,041A,2
24,1360,4
17,1506,1
24,1661,4
20,281,1
8,281,2
8,1090,2
46,326,0
1,1822,2
9,263,2
40,051A,3
3,1750,2
13,1121,1
5,5002,2
16,1821,1
46,1210,0
41,2826,0
27,430,4
36,4387,3
31,1811,3
29,4387,4
12,320,1
6,2851,2
19,2820,1
16,554,1
39,141A,3
30,5002,4
49,520,0
18,1562,1
18,1821,1
34,312,3
31,930,3
11,915,1
48,1020,0
20,1754,1
12,497,1
37,4310,3
35,581,3
40,1206,3
15,313,1
46,330,0
14,545,1
43,545,0
3,033A,2
24,1025,4
48,325,0
9,5111,2
31,1752,3
25,4386,4
42,2090,0
36,630,3
11,337,1
32,2850,3
41,495,0
38,558,3
47,915,0
19,051A,1
9,1242,2
37,1345,3
47,650,0
18,485,1
6,1792,2
42,462,0
9,3960,2
34,1661,3
4,2890,2
47,495,0
40,440,3
26,496,4
30,142A,4
49,2093,0
16,1590,1
22,033A,4
49,1025,0
3,041B,2
13,031B,1
30,930,4
31,2027,3
20,5004,1
35,2027,3
22,5011,4
35,1540,3
18,554,1
27,500N,4
34,141A,3
37,031B,3
47,5007,0
9,1570,2
36,550,3
45,331,0
36,915,3
29,263,4
33,1812,3
45,312,0
38,143A,3
37,1562,3
27,1680,4
20,865,1
