community_area,primary type,total_crimes,features,prediction
34,560,1413,[34.0],3
16,820,1686,[16.0],1
28,2024,2012,[28.0],4
26,486,1353,[26.0],4
44,2826,159,[44.0],0
23,1153,313,[23.0],4
42,870,2996,[42.0],0
24,5011,203,[24.0],4
27,820,3980,[27.0],4
4,1544,5,[4.0],2
39,430,47,[39.0],3
17,470,183,[17.0],1
49,1365,95,[49.0],0
45,620,171,[45.0],0
27,1305,105,[27.0],4
32,890,1005,[32.0],3
41,810,1197,[41.0],0
24,1506,816,[24.0],4
26,1120,42,[26.0],4
20,454,75,[20.0],1
3,5110,18,[3.0],2
24,1220,39,[24.0],4
8,460,1561,[8.0],2
11,320,168,[11.0],1
18,580,13,[18.0],1
37,2014,324,[37.0],3
33,2825,143,[33.0],3
5,2826,203,[5.0],2
49,330,30,[49.0],0
15,497,125,[15.0],1
43,1153,440,[43.0],0
22,470,134,[22.0],4
33,1780,20,[33.0],3
5,860,486,[5.0],2
43,031A,134,[43.0],0
19,486,603,[19.0],1
28,610,624,[28.0],4
10,482,2,[10.0],2
6,141C,17,[6.0],2
3,051A,391,[3.0],2
30,1153,222,[30.0],4
40,1156,34,[40.0],3
7,281,110,[7.0],2
32,1780,11,[32.0],3
42,2850,85,[42.0],0
38,1350,14,[38.0],3
7,860,222,[7.0],2
29,1153,712,[29.0],4
28,033A,72,[28.0],4
50,1152,57,[50.0],0
3,2093,84,[3.0],2
20,545,115,[20.0],1
39,1750,29,[39.0],3
25,1122,40,[25.0],4
2,1821,18,[2.0],2
6,041A,313,[6.0],2
24,1360,83,[24.0],4
17,1506,163,[17.0],1
24,1661,114,[24.0],4
20,281,125,[20.0],1
8,281,118,[8.0],2
8,1090,9,[8.0],2
46,326,10,[46.0],0
1,1822,5,[1.0],2
9,263,6,[9.0],2
40,051A,57,[40.0],3
3,1750,49,[3.0],2
13,1121,21,[13.0],1
5,5002,137,[5.0],2
16,1821,107,[16.0],1
46,1210,87,[46.0],0
41,2826,162,[41.0],0
27,430,300,[27.0],4
36,4387,80,[36.0],3
31,1811,205,[31.0],3
29,4387,153,[29.0],4
12,320,161,[12.0],1
6,2851,13,[6.0],2
19,2820,178,[19.0],1
16,554,44,[16.0],1
39,141A,12,[39.0],3
30,5002,58,[30.0],4
49,520,80,[49.0],0
18,1562,25,[18.0],1
18,1821,14,[18.0],1
34,312,27,[34.0],3
31,930,73,[31.0],3
11,915,34,[11.0],1
48,1020,4,[48.0],0
20,1754,58,[20.0],1
12,497,40,[12.0],1
37,4310,2,[37.0],3
35,581,1,[35.0],3
40,1206,10,[40.0],3
15,313,53,[15.0],1
46,330,25,[46.0],0
14,545,27,[14.0],1
43,545,20,[43.0],0
3,033A,50,[3.0],2
24,1025,18,[24.0],4
48,325,4,[48.0],0
9,5111,38,[9.0],2
31,1752,80,[31.0],3
25,4386,2,[25.0],4
42,2090,22,[42.0],0
36,630,54,[36.0],3
11,337,4,[11.0],1
32,2850,9,[32.0],3
41,495,9,[41.0],0
38,558,4,[38.0],3
47,915,3,[47.0],0
19,051A,47,[19.0],1
9,1242,10,[9.0],2
37,1345,35,[37.0],3
47,650,5,[47.0],0
18,485,7,[18.0],1
6,1792,3,[6.0],2
42,462,14,[42.0],0
9,3960,13,[9.0],2
34,1661,20,[34.0],3
4,2890,6,[4.0],2
47,495,9,[47.0],0
40,440,7,[40.0],3
26,496,16,[26.0],4
30,142A,1,[30.0],4
49,2093,16,[49.0],0
16,1590,3,[16.0],1
22,033A,30,[22.0],4
49,1025,4,[49.0],0
3,041B,3,[3.0],2
13,031B,4,[13.0],1
30,930,50,[30.0],4
31,2027,21,[31.0],3
20,5004,11,[20.0],1
35,2027,23,[35.0],3
22,5011,15,[22.0],4
35,1540,3,[35.0],3
18,554,15,[18.0],1
27,500N,2,[27.0],4
34,141A,22,[34.0],3
37,031B,8,[37.0],3
47,5007,3,[47.0],0
9,1570,9,[9.0],2
36,550,3,[36.0],3
45,331,3,[45.0],0
36,915,16,[36.0],3
29,263,5,[29.0],4
33,1812,18,[33.0],3
45,312,18,[45.0],0
38,143A,22,[38.0],3
37,1562,39,[37.0],3
27,1680,2,[27.0],4
20,865,6,[20.0],1
37,1780,28,[37.0],3
15,3970,4,[15.0],1
41,4255,6,[41.0],0
37,263,2,[37.0],3
41,320,33,[41.0],0
2,110,2,[2.0],2
12,4255,3,[12.0],1
22,1754,52,[22.0],4
19,264,1,[19.0],1
30,1340,3,[30.0],4
18,4386,2,[18.0],1
12,141B,3,[12.0],1
47,4389,2,[47.0],0
24,271,2,[24.0],4
39,2850,3,[39.0],3
14,1110,34,[14.0],1
27,918,2,[27.0],4
14,1025,5,[14.0],1
44,555,1,[44.0],0
14,1195,1,[14.0],1
29,915,29,[29.0],4
4,033B,3,[4.0],2
2,2250,10,[2.0],2
29,2025,16,[29.0],4
38,1220,12,[38.0],3
3,1535,1,[3.0],2
0,110,46,[0.0],2
37,890,403,[37.0],3
9,920,140,[9.0],2
16,470,141,[16.0],1
35,1130,101,[35.0],3
10,1130,102,[10.0],2
25,1121,64,[25.0],4
47,1350,24,[47.0],0
20,2027,171,[20.0],1
12,870,30,[12.0],1
41,1152,54,[41.0],0
22,1130,103,[22.0],4
27,479,20,[27.0],4
26,880,19,[26.0],4
36,930,44,[36.0],3
28,2050,29,[28.0],4
19,1130,124,[19.0],1
33,1155,4,[33.0],3
33,1121,21,[33.0],3
30,1122,39,[30.0],4
2,2860,9,[2.0],2
28,453,13,[28.0],4
17,1305,21,[17.0],1
2,1751,11,[2.0],2
3,2890,14,[3.0],2
16,2860,19,[16.0],1
29,479,11,[29.0],4
26,488,2,[26.0],4
50,1512,1,[50.0],0
11,2850,5,[11.0],1
19,1140,10,[19.0],1
48,1350,42,[48.0],0
48,2210,5,[48.0],0
10,143C,6,[10.0],2
3,483,11,[3.0],2
23,485,4,[23.0],4
17,2013,11,[17.0],1
10,330,25,[10.0],2
10,2027,54,[10.0],2
15,2826,137,[15.0],1
45,1310,542,[45.0],0
42,930,47,[42.0],0
30,1152,65,[30.0],4
10,3731,49,[10.0],2
30,1562,39,[30.0],4
40,031A,97,[40.0],3
2,041A,143,[2.0],2
24,2825,296,[24.0],4
21,4625,114,[21.0],4
28,5002,239,[28.0],4
1,486,698,[1.0],2
12,5007,6,[12.0],1
9,265,25,[9.0],2
47,560,349,[47.0],0
28,041A,706,[28.0],4
12,1020,38,[12.0],1
17,033A,47,[17.0],1
31,560,621,[31.0],3
14,2826,121,[14.0],1
30,560,555,[30.0],4
11,890,359,[11.0],1
6,1153,788,[6.0],2
48,890,743,[48.0],0
6,266,38,[6.0],2
48,810,672,[48.0],0
48,530,40,[48.0],0
30,1210,23,[30.0],4
6,498,63,[6.0],2
1,1150,317,[1.0],2
25,850,33,[25.0],4
7,1153,757,[7.0],2
31,1477,59,[31.0],3
44,1570,23,[44.0],0
40,143A,38,[40.0],3
6,265,33,[6.0],2
28,620,315,[28.0],4
9,051A,381,[9.0],2
14,850,19,[14.0],1
48,320,122,[48.0],0
29,1210,39,[29.0],4
20,1563,63,[20.0],1
21,530,117,[21.0],4
9,2027,236,[9.0],2
17,2024,300,[17.0],1
23,2027,30,[23.0],4
13,5002,80,[13.0],1
47,470,18,[47.0],0
26,2825,171,[26.0],4
3,2024,245,[3.0],2
9,630,69,[9.0],2
21,281,97,[21.0],4
37,1753,24,[37.0],3
36,5002,52,[36.0],3
42,1780,22,[42.0],0
8,454,63,[8.0],2
20,1025,11,[20.0],1
13,041A,31,[13.0],1
11,630,27,[11.0],1
10,5111,33,[10.0],2
23,483,2,[23.0],4
18,920,72,[18.0],1
31,141A,16,[31.0],3
2,326,52,[2.0],2
37,1822,76,[37.0],3
7,430,218,[7.0],2
31,143A,104,[31.0],3
31,2093,20,[31.0],3
43,041B,1,[43.0],0
34,1710,50,[34.0],3
6,5131,11,[6.0],2
6,5000,42,[6.0],2
22,1753,16,[22.0],4
25,334,9,[25.0],4
38,1811,176,[38.0],3
47,2826,128,[47.0],0
27,2890,15,[27.0],4
42,1122,177,[42.0],0
35,2825,155,[35.0],3
46,502P,12,[46.0],0
37,1206,32,[37.0],3
48,2014,3,[48.0],0
17,1755,3,[17.0],1
16,1220,30,[16.0],1
40,3710,5,[40.0],3
31,470,38,[31.0],3
10,3710,19,[10.0],2
5,1755,5,[5.0],2
27,331,8,[27.0],4
